env,lr,discount,epsilon,min_eps,states_size,episodes,monitor_reward_eps,display,img_folder,seed,duration_sec,last_reward,mean_rewards
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.99,0.8,0.1,"[15, 80]",5000,10,False,imgs,2019,22.02316927909851,-182.6,-199.3834
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.99,0.8,0.1,"[10, 200]",5000,10,False,imgs,2019,21.86717176437378,-178.7,-198.4118
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.99,0.9,0.0,"[5, 50]",5000,10,False,imgs,2019,21.807429790496826,-189.4,-199.7168
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.99,0.9,0.0,"[10, 100]",5000,10,False,imgs,2019,21.605421304702762,-155.6,-197.2606
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.99,0.9,0.0,"[15, 80]",5000,10,False,imgs,2019,21.595919132232666,-195.4,-197.8688
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.99,0.9,0.0,"[10, 200]",5000,10,False,imgs,2019,21.958282232284546,-189.0,-198.0412
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.99,0.9,0.1,"[5, 50]",5000,10,False,imgs,2019,21.800788164138797,-200.0,-199.9838
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.99,0.9,0.1,"[10, 100]",5000,10,False,imgs,2019,21.9367995262146,-166.0,-199.0298
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.99,0.9,0.1,"[15, 80]",5000,10,False,imgs,2019,21.789972066879272,-196.6,-199.3688
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.99,0.9,0.1,"[10, 200]",5000,10,False,imgs,2019,21.760809898376465,-200.0,-199.1704
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.99,0.99,0.0,"[5, 50]",5000,10,False,imgs,2019,21.72937774658203,-200.0,-199.933
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.99,0.99,0.0,"[10, 100]",5000,10,False,imgs,2019,21.475528717041016,-163.5,-197.6654
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.99,0.99,0.0,"[15, 80]",5000,10,False,imgs,2019,21.439882516860962,-161.8,-197.7886
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.99,0.99,0.0,"[10, 200]",5000,10,False,imgs,2019,21.453431606292728,-177.2,-197.9148
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.99,0.99,0.1,"[5, 50]",5000,10,False,imgs,2019,21.784268856048584,-200.0,-199.9988
